,status_kep_rumah,penghasilan_utm_ayah,penghasilan_tmbh_ayah,penghasilan_utm_ibu,penghasilan_tmbh_ibu,pajak_r2,pajak_r4,daya_listrik,pbb,skor_ukt,ukt_sebelum_sanggah
242,1,11,0,0,0,2.0,3.0,3,1.0,6.87,6.0
243,1,9,0,7,0,2.0,4.0,4,2.0,8.19,7.0
244,1,8,0,8,0,2.0,1.0,1,1.0,7.22,6.0
245,1,9,0,0,0,6.0,2.0,4,2.0,6.97,6.0
246,1,9,0,8,0,3.0,2.0,2,1.0,7.7,6.0
247,1,12,0,0,0,2.0,4.0,3,0.0,7.17,6.0
248,1,8,0,8,8,7.0,7.0,5,5.0,9.29,8.0
249,1,8,0,0,0,3.0,0.0,4,1.0,5.83,5.0
250,1,0,0,10,0,4.0,3.0,4,2.0,7.35,6.0
251,1,9,0,0,0,4.0,2.0,4,1.0,6.92,6.0
252,1,9,0,0,0,2.0,0.0,3,0.0,5.75,5.0
253,1,9,8,10,0,3.0,7.0,4,2.0,9.03,8.0
254,1,0,0,6,0,5.0,0.0,3,1.0,5.36,4.0
255,1,0,0,0,0,5.0,0.0,2,1.0,4.35,3.0
256,1,8,0,0,0,3.0,0.0,4,2.0,5.83,5.0
257,1,9,0,0,0,2.0,0.0,4,0.0,5.92,5.0
258,0,7,0,8,0,2.0,0.0,4,0.0,6.36,5.0
259,1,9,0,9,0,2.0,2.0,3,7.0,8.37,7.0
260,0,8,0,0,0,7.0,0.0,3,0.0,5.35,4.0
261,0,7,0,0,0,7.0,0.0,2,0.0,4.97,4.0
262,1,7,2,0,0,2.0,0.0,1,0.0,4.9,4.0
263,1,9,0,0,0,3.0,0.0,3,3.0,5.92,5.0
264,1,8,0,8,0,4.0,0.0,2,1.0,6.78,6.0
265,1,11,0,0,0,7.0,4.0,7,7.0,8.09,7.0
266,1,9,0,0,0,5.0,5.0,5,2.0,7.83,7.0
267,1,12,11,10,10,7.0,1.0,4,7.0,8.78,7.0
268,1,12,0,2,0,2.0,0.0,4,1.0,6.21,5.0
269,1,9,0,0,0,2.0,3.0,4,1.0,7.18,6.0
270,1,9,0,0,0,1.0,2.0,3,2.0,6.66,5.0
271,1,12,0,0,0,6.0,2.0,4,0.0,6.91,6.0
272,1,8,0,0,0,3.0,0.0,3,1.0,10.0,8.0
273,1,4,0,0,0,4.0,0.0,1,1.0,4.49,4.0
274,1,0,0,6,0,0.0,0.0,2,1.0,4.66,4.0
275,1,8,0,0,0,0.0,0.0,4,1.0,5.39,4.0
276,0,10,0,0,0,3.0,0.0,4,0.0,5.52,4.0
277,1,8,4,0,0,5.0,0.0,3,0.0,5.73,5.0
278,1,11,0,11,0,5.0,3.0,4,2.0,8.74,7.0
279,1,0,0,5,0,1.0,0.0,4,0.0,5.05,4.0
280,1,5,0,0,0,2.0,1.0,2,0.0,5.57,4.0
281,1,12,0,0,0,3.0,0.0,2,1.0,5.65,5.0
282,0,11,0,0,0,2.0,3.0,3,0.0,6.57,5.0
283,0,7,0,0,0,4.0,0.0,3,0.0,5.05,4.0
284,1,7,0,3,0,4.0,0.0,3,1.0,5.79,5.0
285,1,0,0,7,0,2.0,2.0,2,1.0,6.14,5.0
286,1,4,0,5,0,4.0,0.0,3,1.0,5.58,5.0
287,0,6,0,0,0,4.0,0.0,3,0.0,4.88,4.0
288,0,0,0,7,2,2.0,0.0,5,0.0,5.16,4.0
289,1,9,4,0,0,5.0,1.0,4,1.0,6.43,6.0
290,1,4,0,0,0,2.0,0.0,1,1.0,4.4,4.0
291,1,12,0,0,0,7.0,3.0,5,2.0,7.48,6.0
292,1,5,0,0,0,4.0,2.0,2,1.0,5.88,5.0
293,0,10,0,0,0,4.0,5.0,3,0.0,7.0,6.0
294,1,7,0,0,0,3.0,0.0,3,1.0,5.44,5.0
295,0,5,0,2,0,2.0,0.0,0,0.0,3.96,4.0
296,1,10,0,0,0,3.0,0.0,3,6.0,6.0,5.0
297,1,7,0,0,0,2.0,0.0,4,1.0,5.44,5.0
298,0,7,0,0,0,2.0,0.0,3,0.0,4.97,4.0
299,0,7,0,0,0,0.0,0.0,3,0.0,4.53,4.0
300,0,7,0,0,0,0.0,0.0,3,0.0,4.53,4.0
301,1,7,0,0,0,2.0,0.0,4,0.0,5.57,5.0
302,1,10,0,6,0,2.0,2.0,3,1.0,7.53,6.0
303,1,11,0,0,0,2.0,2.0,3,2.0,6.91,6.0
304,1,5,0,0,0,2.0,0.0,3,2.0,4.97,4.0
305,1,10,0,0,0,4.0,3.0,3,1.0,6.87,6.0
306,0,0,0,5,0,2.0,0.0,0,0.0,10.0,8.0
307,0,7,0,0,0,4.0,0.0,2,0.0,4.88,4.0
308,1,4,0,0,0,2.0,0.0,2,0.0,4.7,4.0
309,0,5,0,0,0,2.0,2.0,3,0.0,5.66,5.0
310,1,12,0,0,0,2.0,3.0,4,2.0,7.22,6.0
311,1,0,0,3,0,0.0,0.0,3,1.0,4.35,4.0
312,1,9,0,0,0,4.0,2.0,4,5.0,7.27,6.0
313,1,12,0,0,0,2.0,3.0,5,0.0,7.35,6.0
314,0,11,0,0,0,0.0,2.0,3,0.0,5.78,5.0
315,1,8,0,0,0,5.0,0.0,3,0.0,5.7,5.0
316,1,7,0,0,0,3.0,0.0,2,1.0,5.27,5.0
317,1,3,0,0,0,2.0,1.0,3,1.0,5.65,5.0
318,1,10,0,0,0,4.0,3.0,3,0.0,7.09,6.0
319,0,0,0,3,0,2.0,0.0,0,0.0,3.26,3.0
320,1,3,0,1,0,4.0,0.0,3,2.0,4.96,4.0
321,1,8,0,11,0,2.0,1.0,3,1.0,7.74,7.0
322,1,7,0,0,0,3.0,0.0,2,0.0,5.23,5.0
323,0,8,0,0,0,2.0,1.0,0,0.0,4.83,4.0
324,0,7,0,0,0,2.0,0.0,3,0.0,4.97,4.0
325,1,6,0,0,0,1.0,0.0,4,7.0,5.44,5.0
326,0,6,0,8,0,5.0,0.0,3,0.0,6.1,5.0
327,1,12,0,0,0,5.0,2.0,4,1.0,6.96,6.0
328,1,8,0,8,0,4.0,2.0,4,1.0,8.09,7.0
329,1,10,0,0,0,2.0,2.0,4,0.0,6.65,6.0
330,0,7,0,0,0,1.0,0.0,3,0.0,4.79,4.0
331,0,0,0,7,0,0.0,0.0,3,0.0,4.53,4.0
332,1,11,0,0,0,3.0,0.0,3,0.0,5.78,5.0
333,1,8,0,0,0,5.0,0.0,3,4.0,5.87,5.0
334,1,6,0,0,0,4.0,0.0,3,1.0,5.36,5.0
335,0,0,0,6,0,0.0,0.0,4,0.0,4.53,4.0
336,1,7,0,0,0,3.0,0.0,2,1.0,5.27,5.0
337,0,8,0,0,0,3.0,1.0,3,0.0,5.87,5.0
338,1,8,0,9,0,2.0,0.0,1,0.0,6.44,6.0
339,1,7,0,4,0,4.0,0.0,3,1.0,5.93,5.0
340,0,2,0,0,0,3.0,0.0,0,0.0,3.3,3.0
341,1,8,0,0,0,3.0,1.0,3,1.0,6.35,5.0
342,1,0,0,0,0,4.0,4.0,4,0.0,6.04,5.0
343,0,7,0,0,0,5.0,0.0,3,0.0,5.05,4.0
344,1,9,0,0,0,2.0,0.0,3,1.0,5.79,5.0
345,0,2,0,0,0,2.0,0.0,0,0.0,3.3,3.0
346,1,10,0,0,0,2.0,3.0,3,1.0,7.04,6.0
347,1,7,0,0,0,2.0,0.0,2,1.0,5.27,5.0
348,1,12,0,0,0,2.0,1.0,4,1.0,6.7,6.0
349,1,8,0,8,0,2.0,0.0,3,0.0,6.83,6.0
350,1,0,0,10,0,1.0,4.0,3,0.0,7.0,6.0
351,0,12,0,0,0,1.0,0.0,3,0.0,5.17,5.0
352,0,0,0,0,0,1.0,0.0,2,0.0,3.61,3.0
353,0,7,0,0,0,7.0,0.0,3,0.0,5.23,5.0
354,0,9,0,0,0,2.0,0.0,4,0.0,5.49,5.0
355,0,8,0,0,0,2.0,0.0,2,0.0,5.0,4.0
